Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,66600,67600,66500,67300,65641.59375,14106184
2022-05-03,67400,68400,67300,67500,65836.67188,14168875
2022-05-04,68000,68400,67500,67900,66226.82031,11505248
2022-05-06,67000,67100,66500,66500,64861.31641,14356156
2022-05-10,65900,66300,65300,65700,64081.02734,17235605
2022-05-11,65500,66300,65200,65700,64081.02734,12330920
2022-05-12,65200,65500,64900,64900,63300.74219,16414188
2022-05-13,65300,66700,65200,66500,64861.31641,14551536
2022-05-16,67100,67400,66100,66300,64666.23828,11937555
2022-05-17,66600,67900,66600,67600,65934.20313,15680447
2022-05-18,68300,68700,67600,68100,66421.88281,16486319
2022-05-19,66500,67600,66500,67500,65836.67188,17073727
2022-05-20,67800,68400,67700,68000,66324.35156,12109671
2022-05-23,68800,68800,67600,67900,66226.82031,13684088
2022-05-24,67500,67700,66500,66500,64861.31641,15482576
2022-05-25,66700,67100,65900,66400,64763.77734,15150490
2022-05-26,66300,67200,65500,65900,64276.09766,15970890
2022-05-27,66700,66900,66200,66500,64861.31641,11405555
2022-05-30,67500,67800,66900,67700,66031.74219,14255484
2022-05-31,67500,67500,66700,67400,65739.13281,24365002
2022-06-02,66600,67000,66400,66700,65056.38672,14959443
2022-06-03,67200,67300,66800,66800,65153.92188,8222883
2022-06-07,66200,66400,65400,65500,63885.95313,19355755
2022-06-08,65400,65700,65300,65300,63690.88281,12483180
2022-06-09,65100,65200,64500,65200,63593.34766,25790725
2022-06-10,64000,64400,63800,63800,62227.84375,22193552
2022-06-13,62400,62800,62100,62100,60569.73828,22157816
2022-06-14,61200,62200,61100,61900,60374.66406,24606419
2022-06-15,61300,61500,60200,60700,59204.23438,26811224
2022-06-16,61300,61800,60500,60900,59399.30859,23394895
2022-06-17,59400,59900,59400,59800,58326.41406,29053450
2022-06-20,59800,59900,58100,58700,57253.51953,34111306
2022-06-21,58700,59200,58200,58500,57058.44531,25148109
2022-06-22,59000,59100,57600,57600,56180.62109,23334687
2022-06-23,57700,58000,56800,57400,55985.55469,28338608
2022-06-24,57900,59100,57700,58400,56960.91016,23256103
2022-06-27,59000,59900,58300,58800,57351.05469,18122236
2022-06-28,59200,59500,58700,59400,57936.26953,13540538
2022-06-29,58500,58800,58000,58000,56916.67969,14677138
2022-06-30,57200,57600,57000,57000,55935.35938,18915142
2022-07-01,56900,57500,55900,56200,55150.29688,24982097
2022-07-04,56100,57400,55700,57100,56033.48828,17807126
2022-07-05,57600,58200,57200,57200,56131.625,14216539
2022-07-06,57300,57300,56400,56400,55346.5625,16820461
2022-07-07,56400,58700,56300,58200,57112.94141,21322833
2022-07-08,58600,59300,58200,58700,57603.60156,15339271
2022-07-11,59300,59600,58700,58800,57701.73828,13042624
2022-07-12,58600,58700,58100,58100,57014.80859,9336061
2022-07-13,58300,58600,58000,58000,56916.67969,10841315
2022-07-14,57500,58200,57400,57500,56426.01563,15067012
2022-07-15,58400,60000,58100,60000,58879.32031,18685583
2022-07-18,60600,62000,60500,61900,60743.83594,20832517
2022-07-19,61400,61500,60200,60900,59762.51172,15248261
2022-07-20,61800,62100,60500,60500,59369.98047,16782238
2022-07-21,61100,61900,60700,61800,60645.70313,12291374
2022-07-22,61800,62200,61200,61300,60155.03906,10261310
2022-07-25,60900,61900,60800,61100,59958.77734,9193681
2022-07-26,60800,61900,60800,61700,60547.57031,6597211
2022-07-27,61300,61900,61200,61800,60645.70313,7320997
2022-07-28,62300,62600,61600,61900,60743.83594,10745302
2022-07-29,62400,62600,61300,61400,60253.17578,15093120
2022-08-01,61000,61700,60300,61300,60155.03906,13154816
2022-08-02,61200,61900,61000,61700,60547.57031,13614895
2022-08-03,61600,61600,61000,61300,60155.03906,10053861
2022-08-04,61700,61800,61200,61500,60351.30469,9125439
2022-08-05,61700,61900,61200,61500,60351.30469,9567620
2022-08-08,61400,61400,60600,60800,59664.375,11313150
2022-08-09,60600,60700,59600,60000,58879.32031,18251170
2022-08-10,58900,59200,58600,59100,57996.13281,18084349
2022-08-11,59600,60000,59300,59900,58781.19141,15141941
2022-08-12,59500,60700,59400,60200,59075.58594,10786658
2022-08-16,60500,61600,60300,61000,59860.64063,15036727
2022-08-17,61100,61200,60300,60400,59271.85156,9061518
2022-08-18,60300,61900,60000,61500,60351.30469,16372754
2022-08-19,61400,61600,60600,60900,59762.51172,6923679
2022-08-22,60300,60400,59800,60000,58879.32031,8259865
2022-08-23,59000,59600,59000,59100,57996.13281,9041629
2022-08-24,59200,59500,59000,59000,57898,8888486
2022-08-25,59200,59700,59000,59700,58584.92578,5767902
2022-08-26,60300,60900,59900,60000,58879.32031,9499995
2022-08-29,58700,58900,58600,58600,57505.47266,9841329
2022-08-30,58700,59000,58300,58800,57701.73828,9690044
2022-08-31,58200,59900,58200,59700,58584.92578,14203512
2022-09-01,58700,58900,58300,58400,57309.20703,14905777
2022-09-02,58300,58600,57500,57500,56426.01563,15040310
2022-09-05,57400,57800,56800,57100,56033.48828,11425977
2022-09-06,57200,57600,56900,57100,56033.48828,7503086
2022-09-07,56700,56700,55900,56000,54954.03125,17384854
2022-09-08,56200,56400,55600,55600,54561.50391,18000016
2022-09-13,57000,58500,56800,58100,57014.80859,17166581
2022-09-14,56200,57200,56100,56800,55739.09375,12524961
2022-09-15,57000,57100,56000,56000,54954.03125,11664819
2022-09-16,55600,56400,55500,56200,55150.29688,13456503
2022-09-19,56300,57000,56000,56400,55346.5625,12278653
2022-09-20,56400,57000,55800,55800,54757.76563,14041465
2022-09-21,55400,55500,55000,55300,54267.10938,11863700
2022-09-22,54600,54700,54300,54400,53383.91797,12786510
2022-09-23,54400,54900,54200,54500,53482.05078,10555964
2022-09-26,53700,54200,53600,53900,52893.25781,15008449
2022-09-27,53800,54200,53500,54200,53187.65234,16631289
2022-09-28,53900,54400,52500,52900,51911.93359,19991129
2022-09-29,53300,53700,52600,52600,51972.20703,13882080
2022-09-30,52300,53600,51800,53100,52466.23828,22503249
